股票代码,股票名称,总市值,所属板块,申万一级行业,主力净流入,最新价
301175,中科环保,11451226400,4,北京板块,66912248.0,20.06
688786,悦安新材,5622580117,4,江西板块,19439632.0,20.01
300499,高澜股份,11645232717,4,广东板块,649501104.0,20.01
688530,欧莱新材,6336174582,4,广东板块,47838559.0,20.01
688025,杰普特,23045683101,4,广东板块,159333049.0,20.0
301630,同宇新材,9129600000,4,广东板块,126395567.0,20.0
300943,春晖智控,7875604800,4,浙江板块,97559451.0,20.0
300739,明阳电路,13130683320,4,广东板块,-39683024.0,20.0
300303,聚飞光电,13176291401,4,广东板块,808580880.0,20.0
301317,鑫磊股份,8912673000,4,浙江板块,39886361.0,19.75
300442,润泽科技,166964539418,4,河北板块,843592688.0,17.7
300277,海联讯,37611798172,4,浙江板块,195201696.0,15.94
301312,智立方,10717213325,4,广东板块,92899039.0,15.71
688035,德邦科技,9971024000,4,山东板块,87366568.0,14.75
300804,广康生化,3838380000,4,广东板块,66449974.0,14.5
301536,星宸科技,35120444521,4,福建板块,-82842064.0,14.24
688629,华丰科技,57633323732,4,四川板块,418611584.0,14.12
300991,创益通,9249120000,4,广东板块,10879889.0,13.9
688433,华曙高科,41383746496,4,湖南板块,4282629.0,13.58
300034,钢研高纳,19820434072,4,北京板块,-155687402.0,13.1
688291,金橙子,5590201815,4,北京板块,30760932.0,12.15
301266,宇邦新材,5732127787,4,江苏板块,5859400.0,12.11
300187,永清环保,3951207650,4,湖南板块,-11776827.0,12.09
688593,新相微,16952040009,4,上海板块,-21008643.0,11.79
301251,威尔高,9421469878,4,江西板块,70728215.0,11.74
301322,绿通科技,4967681790,4,广东板块,16880082.0,11.55
688107,安路科技,13913481529,4,上海板块,-13764473.0,11.54
688191,智洋创新,9910002829,4,山东板块,-41104093.0,11.38
301018,申菱环境,28941197912,4,广东板块,90339811.0,11.33
300267,尔康制药,8827948844,4,湖南板块,209831445.0,11.17
688818,电科蓝天,118666640165,4,天津板块,154734720.0,11.09
300151,昌红科技,10378597038,4,广东板块,1523049.0,11.05
688685,迈信林,7797823518,4,江苏板块,-1920138.0,10.95
688231,隆达股份,9091748577,4,江苏板块,-20473236.0,10.63
