date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-02-26,sz.002008,28.6600,29.2400,28.3000,28.8700,28.6700,40271489,1163455240.2900,3,4.112200,1,0.697600,18.864449,1.911895,2.047965,-16.954046,0
2025-02-27,sz.002008,28.8700,28.9400,27.7200,28.4500,28.8700,49494896,1399395632.9500,3,5.054000,1,-1.454800,18.590010,1.884081,2.018171,-16.707399,0
2025-02-28,sz.002008,28.1500,28.3900,27.1800,27.2000,28.4500,37432228,1034457915.5600,3,3.822300,1,-4.393700,17.773226,1.801300,1.929499,-15.973330,0
2025-03-03,sz.002008,27.2800,27.8300,26.9900,27.2300,27.2000,27839188,762188253.6700,3,2.842700,1,0.110300,17.792828,1.803287,1.931627,-15.990948,0
2025-03-04,sz.002008,27.0300,27.7600,26.9800,27.5700,27.2300,21240101,583624272.3300,3,2.168900,1,1.248600,18.014994,1.825803,1.955746,-16.190615,0
2025-03-05,sz.002008,27.4000,27.9500,27.3100,27.5800,27.5700,19685795,542336116.2200,3,2.010200,1,0.036300,18.021528,1.826466,1.956455,-16.196487,0
2025-03-06,sz.002008,27.8200,28.3000,27.7900,28.1100,27.5800,31316161,879815726.1900,3,3.197800,1,1.921700,18.367845,1.861564,1.994052,-16.507732,0
2025-03-07,sz.002008,28.0000,29.3300,27.9400,28.6900,28.1100,46763325,1343849369.4200,3,4.775100,1,2.063300,18.746832,1.899975,2.035196,-16.848340,0
2025-03-10,sz.002008,28.8000,30.2300,28.7600,29.3900,28.6900,63684202,1890286511.3000,3,6.502900,1,2.439900,19.204232,1.946332,2.084852,-17.259418,0
2025-03-11,sz.002008,28.8100,29.3200,28.6300,29.0800,29.3900,31067090,899424128.5800,3,3.172300,1,-1.054800,19.001669,1.925802,2.062861,-17.077369,0
2025-03-12,sz.002008,29.4700,29.6000,28.7500,28.8400,29.0800,28214699,821927879.8500,3,2.881100,1,-0.825300,18.844847,1.909908,2.045836,-16.936428,0
2025-03-13,sz.002008,28.7300,28.8200,27.8700,28.1200,28.8400,27629101,778983012.5800,3,2.821300,1,-2.496500,18.374379,1.862227,1.994761,-16.513605,0
2025-03-14,sz.002008,28.0700,28.8700,27.9800,28.7600,28.1200,26549662,756564263.1300,3,2.711000,1,2.276000,18.792572,1.904610,2.040161,-16.889448,0
2025-03-17,sz.002008,28.8700,28.9300,28.4500,28.6400,28.7600,20943761,599861380.5500,3,2.138600,1,-0.417200,18.714161,1.896663,2.031649,-16.818977,0
2025-03-18,sz.002008,28.8000,30.6500,28.7000,30.2700,28.6400,79181158,2376317150.7600,3,8.085300,1,5.691300,19.779248,2.004609,2.147277,-17.776203,0
2025-03-19,sz.002008,30.2000,30.4800,29.4700,30.0300,30.2700,42695643,1275037029.1500,3,4.359700,1,-0.792900,19.622425,1.988715,2.130252,-17.635261,0
2025-03-20,sz.002008,29.8200,29.9700,29.4500,29.5800,30.0300,28709230,851114744.4200,3,2.931600,1,-1.498500,19.328383,1.958914,2.098330,-17.370997,0
2025-03-21,sz.002008,29.3500,30.4400,29.0400,29.1100,29.5800,46393357,1374724723.3500,3,4.737300,1,-1.588900,19.021272,1.927789,2.064990,-17.094987,0
2025-03-24,sz.002008,29.1700,29.3400,28.3300,29.2300,29.1100,34357024,990931064.3100,3,3.508300,1,0.412200,19.099683,1.935736,2.073502,-17.165458,0
2025-03-25,sz.002008,28.9400,29.2300,28.3600,28.5000,29.2300,25178531,721874242.2700,3,2.571000,1,-2.497400,18.622681,1.887392,2.021718,-16.736762,0
2025-03-26,sz.002008,28.3800,29.3500,28.3600,28.7000,28.5000,22647511,652506836.1900,3,2.312600,1,0.701800,18.753367,1.900637,2.035905,-16.854213,0
2025-03-27,sz.002008,28.6500,29.0500,28.1300,28.6400,28.7000,23591899,676101015.1900,3,2.409000,1,-0.209100,18.714161,1.896663,2.031649,-16.818977,0
2025-03-28,sz.002008,28.6400,29.2600,28.5000,28.5100,28.6400,18693671,537253992.1200,3,1.908800,1,-0.453900,18.629215,1.888054,2.022427,-16.742634,0
2025-03-31,sz.002008,28.2300,28.4400,27.5600,27.9800,28.5100,24450432,683714980.5800,3,2.496700,1,-1.859000,18.282899,1.852955,1.984830,-16.431389,0
2025-04-01,sz.002008,27.9900,28.1600,27.6400,27.7100,27.9800,16918854,471835065.6300,3,1.727600,1,-0.965000,18.106474,1.835075,1.965677,-16.272830,0
2025-04-02,sz.002008,27.7100,28.3100,27.6000,27.8500,27.7100,14572367,406690883.7500,3,1.488000,1,0.505200,18.197953,1.844346,1.975608,-16.355046,0
2025-04-03,sz.002008,27.7000,28.0300,26.8400,27.3800,27.8500,30378396,831722083.4600,3,3.102000,1,-1.687600,17.890843,1.813221,1.942268,-16.079036,0
2025-04-07,sz.002008,25.7400,25.9800,24.6400,24.6400,27.3800,32364174,807552545.3500,3,3.304800,1,-10.007300,16.100451,1.631766,1.747899,-14.469958,0
2025-04-08,sz.002008,24.0100,24.6700,22.1900,23.0400,24.6400,76388508,1764281207.0200,3,7.800200,1,-6.493500,15.054968,1.525807,1.634399,-13.530350,0
2025-04-09,sz.002008,22.2600,23.4200,21.5100,23.1600,23.0400,55469958,1262208008.2800,3,5.664100,1,0.520800,15.133379,1.533754,1.642912,-13.600821,0
2025-04-10,sz.002008,24.1500,24.5000,23.7300,23.9400,23.1600,41360699,994441348.8900,3,4.223400,1,3.367900,15.643052,1.585409,1.698243,-14.058880,0
2025-04-11,sz.002008,23.6000,24.4000,23.4800,24.0000,23.9400,35619162,855169330.9200,3,3.637100,1,0.250600,15.682258,1.589383,1.702499,-14.094115,0
2025-04-14,sz.002008,24.5900,24.6900,23.9800,24.0000,24.0000,32981700,799259996.0000,3,3.367800,1,0.000000,15.682258,1.589383,1.702499,-14.094115,0
2025-04-15,sz.002008,24.0100,24.1000,23.5800,23.8100,24.0000,21575442,512265338.9300,3,2.203100,1,-0.791700,15.558107,1.576800,1.689021,-13.982537,0
2025-04-16,sz.002008,23.6800,23.7300,23.1000,23.3100,23.8100,18512640,432382346.5600,3,1.890400,1,-2.100000,15.231393,1.543688,1.653552,-13.688909,0
