date,time,code,open,high,low,close,volume,amount,adjustflag
2025-02-27,20250227093500000,sh.601608,4.4700,4.5000,4.4500,4.4800,5628800,25202708.0000,3
2025-02-27,20250227094000000,sh.601608,4.4700,4.5300,4.4700,4.4900,5514300,24805828.0000,3
2025-02-27,20250227094500000,sh.601608,4.4900,4.5000,4.4700,4.4900,3349900,15007920.0000,3
2025-02-27,20250227095000000,sh.601608,4.4900,4.4900,4.4600,4.4800,2039200,9123848.0000,3
2025-02-27,20250227095500000,sh.601608,4.4800,4.4800,4.4500,4.4600,2164500,9656080.0000,3
2025-02-27,20250227100000000,sh.601608,4.4500,4.4800,4.4500,4.4500,1788800,7979792.0000,3
2025-02-27,20250227100500000,sh.601608,4.4600,4.4600,4.4500,4.4500,1174000,5228392.0000,3
2025-02-27,20250227101000000,sh.601608,4.4500,4.4600,4.4400,4.4500,3356500,14921288.0000,3
2025-02-27,20250227101500000,sh.601608,4.4500,4.4600,4.4300,4.4400,1541500,6846952.0000,3
2025-02-27,20250227102000000,sh.601608,4.4400,4.4500,4.4200,4.4400,1358100,6021208.0000,3
2025-02-27,20250227102500000,sh.601608,4.4300,4.4900,4.4300,4.4900,2738100,12224640.0000,3
2025-02-27,20250227103000000,sh.601608,4.4900,4.5000,4.4800,4.4900,2824700,12676448.0000,3
2025-02-27,20250227103500000,sh.601608,4.4900,4.4900,4.4700,4.4700,2124800,9519200.0000,3
2025-02-27,20250227104000000,sh.601608,4.4800,4.4800,4.4600,4.4600,1260200,5637216.0000,3
2025-02-27,20250227104500000,sh.601608,4.4600,4.5000,4.4600,4.4800,2967600,13303664.0000,3
2025-02-27,20250227105000000,sh.601608,4.4700,4.4800,4.4600,4.4600,1658600,7416960.0000,3
2025-02-27,20250227105500000,sh.601608,4.4600,4.4700,4.4500,4.4600,2155500,9606784.0000,3
2025-02-27,20250227110000000,sh.601608,4.4600,4.4700,4.4500,4.4700,681500,3041200.0000,3
2025-02-27,20250227110500000,sh.601608,4.4700,4.4700,4.4500,4.4500,702900,3136880.0000,3
2025-02-27,20250227111000000,sh.601608,4.4500,4.4600,4.4300,4.4400,2298800,10214448.0000,3
2025-02-27,20250227111500000,sh.601608,4.4500,4.4600,4.4300,4.4300,841700,3740352.0000,3
2025-02-27,20250227112000000,sh.601608,4.4400,4.4400,4.4200,4.4200,2170600,9613056.0000,3
2025-02-27,20250227112500000,sh.601608,4.4200,4.4400,4.4200,4.4200,883800,3913216.0000,3
2025-02-27,20250227113000000,sh.601608,4.4300,4.4400,4.4200,4.4200,766500,3392192.0000,3
2025-02-27,20250227130500000,sh.601608,4.4200,4.4300,4.4200,4.4300,902500,3994880.0000,3
2025-02-27,20250227131000000,sh.601608,4.4300,4.4300,4.4100,4.4100,905200,3999888.0000,3
2025-02-27,20250227131500000,sh.601608,4.4200,4.4200,4.4100,4.4100,824600,3638032.0000,3
